"YEAR","state","incidence"
"1983","GEORGIA","0.14"
"1984","GEORGIA","0.06"
"1985","GEORGIA","0.13"
"1986","GEORGIA","1.49"
"1987","GEORGIA","0.15"
"1988","GEORGIA","0.0"
"1989","GEORGIA","0.27"
"1990","GEORGIA","5.5"
"1991","GEORGIA","0.23"
"1992","GEORGIA","0.04"
"1993","GEORGIA","0.01"
"1994","GEORGIA","0.03"
"1995","GEORGIA","0.06"
"1996","GEORGIA","0.01"
"1997","GEORGIA","0.0"
"1998","GEORGIA","0.01"
"1999","GEORGIA","0.0"
"2000","GEORGIA","0.0"
"2001","GEORGIA","0.01"
"2002","GEORGIA","0.01"
"2003","GEORGIA","0.0"
"1928","HAWAII","0.0"
"1929","HAWAII","0.0"
"1930","HAWAII","0.0"
"1931","HAWAII","0.0"
"1932","HAWAII","0.0"
"1933","HAWAII","0.0"
"1934","HAWAII","0.0"
"1935","HAWAII","0.0"
"1936","HAWAII","0.0"
"1937","HAWAII","0.0"
"1938","HAWAII","0.0"
"1939","HAWAII","0.0"
"1940","HAWAII","0.0"
"1941","HAWAII","0.0"
"1942","HAWAII","0.0"
"1943","HAWAII","0.0"
"1944","HAWAII","0.0"
"1945","HAWAII","0.0"
"1946","HAWAII","0.0"
"1947","HAWAII","0.0"
"1948","HAWAII","0.0"
"1949","HAWAII","0.0"
"1950","HAWAII","13.22"
"1951","HAWAII","955.24"
"1952","HAWAII","0.0"
"1953","HAWAII","0.0"
"1954","HAWAII","99.86"
"1955","HAWAII","1186.44"
"1956","HAWAII","922.02"
"1957","HAWAII","866.24"
"1958","HAWAII","95.08"
"1959","HAWAII","592.6"
"1960","HAWAII","829.0"
"1961","HAWAII","29.62"
"1962","HAWAII","387.29"
"1963","HAWAII","521.83"
"1964","HAWAII","123.18"
"1965","HAWAII","575.8"
"1966","HAWAII","20.36"
"1967","HAWAII","24.46"
"1968","HAWAII","5.05"
"1969","HAWAII","7.02"
"1970","HAWAII","23.86"
"1971","HAWAII","59.03"
"1972","HAWAII","11.24"
"1973","HAWAII","3.52"
"1974","HAWAII","7.1"
"1975","HAWAII","7.17"
"1976","HAWAII","1.2"
"1977","HAWAII","4.73"
"1978","HAWAII","2.17"
"1979","HAWAII","7.95"
"1980","HAWAII","0.9"
"1981","HAWAII","0.8"
"1982","HAWAII","0.5"
"1983","HAWAII","0.1"
"1984","HAWAII","16.64"
"1985","HAWAII","2.33"
"1986","HAWAII","2.78"
"1987","HAWAII","0.18"
"1988","HAWAII","1.81"
"1989","HAWAII","2.79"
"1990","HAWAII","3.69"
"1991","HAWAII","1.95"
"1992","HAWAII","4.24"
"1993","HAWAII","1.3"
"1994","HAWAII","0.0"
"1995","HAWAII","0.0"
"1996","HAWAII","2.81"
"1997","HAWAII","0.49"
"1998","HAWAII","0.0"
"1999","HAWAII","0.08"
"2000","HAWAII","0.16"
"2001","HAWAII","0.57"
"2002","HAWAII","0.08"
"2003","HAWAII","0.0"
"1928","IDAHO","19.59"
"1929","IDAHO","160.37"
"1930","IDAHO","196.66"
"1931","IDAHO","25.97"
"1932","IDAHO","8.76"
"1933","IDAHO","193.59"
"1934","IDAHO","252.43"
"1935","IDAHO","182.33"
"1936","IDAHO","262.62"
"1937","IDAHO","243.15"
"1938","IDAHO","425.67"
"1939","IDAHO","694.15"
"1940","IDAHO","337.53"
"1941","IDAHO","102.03"
"1942","IDAHO","395.08"
"1943","IDAHO","650.9"
"1944","IDAHO","182.34"
"1945","IDAHO","259.93"
"1946","IDAHO","433.6"
"1947","IDAHO","51.13"
"1948","IDAHO","275.2"
"1949","IDAHO","511.03"
"1950","IDAHO","324.05"
"1951","IDAHO","358.07"
"1952","IDAHO","196.07"
"1953","IDAHO","324.34"
"1954","IDAHO","734.17"
"1955","IDAHO","113.76"
"1956","IDAHO","317.56"
"1957","IDAHO","486.9"
"1958","IDAHO","591.94"
"1959","IDAHO","247.2"
"1960","IDAHO","421.92"
"1961","IDAHO","281.75"
"1962","IDAHO","234.12"
"1963","IDAHO","572.48"
"1964","IDAHO","336.19"
"1965","IDAHO","454.66"
"1966","IDAHO","246.93"
"1967","IDAHO","60.05"
"1968","IDAHO","3.0"
"1969","IDAHO","12.74"
"1970","IDAHO","13.32"
"1971","IDAHO","35.9"
"1972","IDAHO","14.09"
"1973","IDAHO","31.71"
"1974","IDAHO","6.48"
"1975","IDAHO","2.35"
"1976","IDAHO","224.33"
"1977","IDAHO","18.56"
"1978","IDAHO","0.43"
"1979","IDAHO","2.34"
"1980","IDAHO","0.0"
"1981","IDAHO","0.2"
"1982","IDAHO","0.0"
"1983","IDAHO","0.1"
"1984","IDAHO","0.0"
"1985","IDAHO","6.25"
"1986","IDAHO","0.1"
"1987","IDAHO","0.0"
"1988","IDAHO","0.0"
"1989","IDAHO","0.8"
"1990","IDAHO","2.19"
"1991","IDAHO","42.15"
"1992","IDAHO","0.0"
"1993","IDAHO","0.0"
"1994","IDAHO","0.18"
"1995","IDAHO","0.33"
"1996","IDAHO","0.16"
"1997","IDAHO","6.59"
"1998","IDAHO","0.08"
"1999","IDAHO","0.0"
"2000","IDAHO","0.0"
"2001","IDAHO","0.16"
"2002","IDAHO","0.0"
"2003","IDAHO","0.0"
"1928","ILLINOIS","98.24"
"1929","ILLINOIS","506.18"
"1930","ILLINOIS","216.07"
"1931","ILLINOIS","516.97"
"1932","ILLINOIS","208.31"
"1933","ILLINOIS","155.65"
"1934","ILLINOIS","574.84"
"1935","ILLINOIS","746.81"
"1936","ILLINOIS","15.43"
"1937","ILLINOIS","146.95"
"1938","ILLINOIS","1145.16"
"1939","ILLINOIS","100.12"
"1940","ILLINOIS","84.14"
"1941","ILLINOIS","613.14"
"1942","ILLINOIS","132.69"
"1943","ILLINOIS","328.45"
"1944","ILLINOIS","239.79"
"1945","ILLINOIS","103.25"
"1946","ILLINOIS","298.12"
"1947","ILLINOIS","91.45"
"1948","ILLINOIS","426.99"
"1949","ILLINOIS","65.92"
"1950","ILLINOIS","200.35"
"1951","ILLINOIS","187.66"
"1952","ILLINOIS","294.52"
"1953","ILLINOIS","173.71"
"1954","ILLINOIS","358.74"
"1955","ILLINOIS","144.65"
"1956","ILLINOIS","441.99"
"1957","ILLINOIS","100.27"
"1958","ILLINOIS","233.09"
"1959","ILLINOIS","96.16"
"1960","ILLINOIS","224.66"
"1961","ILLINOIS","159.0"
"1962","ILLINOIS","163.37"
"1963","ILLINOIS","98.55"
"1964","ILLINOIS","149.33"
"1965","ILLINOIS","42.68"
"1966","ILLINOIS","106.31"
"1967","ILLINOIS","11.93"
"1968","ILLINOIS","13.52"
"1969","ILLINOIS","10.16"
"1970","ILLINOIS","29.38"
"1971","ILLINOIS","29.04"
"1972","ILLINOIS","40.22"
"1973","ILLINOIS","19.48"
"1974","ILLINOIS","18.73"
"1975","ILLINOIS","16.49"
"1976","ILLINOIS","17.86"
"1977","ILLINOIS","16.56"
"1978","ILLINOIS","6.98"
"1979","ILLINOIS","11.6"
"1980","ILLINOIS","2.97"
"1981","ILLINOIS","0.26"
"1982","ILLINOIS","0.24"
"1983","ILLINOIS","1.72"
"1984","ILLINOIS","1.36"
"1985","ILLINOIS","2.43"
"1986","ILLINOIS","3.67"
"1987","ILLINOIS","1.7"
"1988","ILLINOIS","0.47"
"1989","ILLINOIS","22.32"
"1990","ILLINOIS","9.05"
"1991","ILLINOIS","0.05"
"1992","ILLINOIS","0.09"
"1993","ILLINOIS","0.04"
"1994","ILLINOIS","0.15"
"1995","ILLINOIS","0.04"
"1996","ILLINOIS","0.02"
"1997","ILLINOIS","0.08"
"1998","ILLINOIS","0.01"
"1999","ILLINOIS","0.0"
"2000","ILLINOIS","0.04"
"2001","ILLINOIS","0.01"
"2002","ILLINOIS","0.0"
"2003","ILLINOIS","0.0"
"1928","INDIANA","263.67"
"1929","INDIANA","322.1"
"1930","INDIANA","120.73"
"1931","INDIANA","541.21"
"1932","INDIANA","88.78"
"1933","INDIANA","108.02"
"1934","INDIANA","631.03"
"1935","INDIANA","299.12"
"1936","INDIANA","21.15"
"1937","INDIANA","210.12"
"1938","INDIANA","523.18"
"1939","INDIANA","59.79"
"1940","INDIANA","16.65"
"1941","INDIANA","381.63"
"1942","INDIANA","94.99"
"1943","INDIANA","263.0"
"1944","INDIANA","149.11"
"1945","INDIANA","33.51"
"1946","INDIANA","293.05"
"1947","INDIANA","60.93"
"1948","INDIANA","366.54"
"1949","INDIANA","100.14"
"1950","INDIANA","169.41"
"1951","INDIANA","102.0"
"1952","INDIANA","179.11"
"1953","INDIANA","162.58"
"1954","INDIANA","517.12"
"1955","INDIANA","86.36"
"1956","INDIANA","368.17"
"1957","INDIANA","180.31"
"1958","INDIANA","396.55"
"1959","INDIANA","99.64"
"1960","INDIANA","223.08"
"1961","INDIANA","124.69"
"1962","INDIANA","161.79"
"1963","INDIANA","122.36"
"1964","INDIANA","458.81"
"1965","INDIANA","48.06"
"1966","INDIANA","116.34"
"1967","INDIANA","13.46"
"1968","INDIANA","15.55"
"1969","INDIANA","10.51"
"1970","INDIANA","5.5"
"1971","INDIANA","58.23"
"1972","INDIANA","23.8"
"1973","INDIANA","13.27"
"1974","INDIANA","4.86"
"1975","INDIANA","9.67"
"1976","INDIANA","79.97"
"1977","INDIANA","71.15"
"1978","INDIANA","3.95"
"1979","INDIANA","3.67"
"1980","INDIANA","2.01"
"1981","INDIANA","0.34"
"1982","INDIANA","0.06"
"1983","INDIANA","6.78"
"1984","INDIANA","0.04"
"1985","INDIANA","0.06"
"1986","INDIANA","0.7"
"1987","INDIANA","0.0"
"1988","INDIANA","1.04"
"1989","INDIANA","2.02"
"1990","INDIANA","4.49"
"1991","INDIANA","0.09"
"1992","INDIANA","0.22"
"1993","INDIANA","0.02"
"1994","INDIANA","0.02"
"1995","INDIANA","0.0"
"1996","INDIANA","0.0"
"1997","INDIANA","0.0"
"1998","INDIANA","0.03"
"1999","INDIANA","0.02"
"2000","INDIANA","0.0"
"2001","INDIANA","0.03"
"2002","INDIANA","0.02"
"2003","INDIANA","0.0"
"1928","IOWA","28.63"
"1929","IOWA","82.95"
"1930","IOWA","395.59"
"1931","IOWA","34.25"
"1932","IOWA","6.32"
"1933","IOWA","33.01"
"1934","IOWA","346.39"
"1935","IOWA","865.65"
"1936","IOWA","8.0"
"1937","IOWA","10.76"
"1938","IOWA","223.17"
"1939","IOWA","209.13"
"1940","IOWA","212.6"
"1941","IOWA","197.87"
"1942","IOWA","254.79"
"1943","IOWA","242.8"
"1944","IOWA","201.38"
"1945","IOWA","61.4"
"1946","IOWA","160.44"
"1947","IOWA","177.89"
"1948","IOWA","352.26"
"1949","IOWA","87.03"
"1950","IOWA","399.49"
"1951","IOWA","103.78"
"1952","IOWA","120.84"
"1953","IOWA","413.78"
"1954","IOWA","477.14"
"1955","IOWA","286.64"
"1956","IOWA","307.41"
"1957","IOWA","330.75"
"1958","IOWA","463.82"
"1959","IOWA","420.25"
"1960","IOWA","64.0"
"1961","IOWA","192.53"
"1962","IOWA","393.63"
"1963","IOWA","280.07"
"1964","IOWA","819.82"
"1965","IOWA","339.54"
"1966","IOWA","197.39"
"1967","IOWA","29.6"
"1968","IOWA","6.58"
"1969","IOWA","9.98"
"1970","IOWA","31.42"
"1971","IOWA","94.79"
"1972","IOWA","33.27"
"1973","IOWA","10.12"
"1974","IOWA","4.6"
"1975","IOWA","24.11"
"1976","IOWA","1.4"
"1977","IOWA","123.72"
"1978","IOWA","2.96"
"1979","IOWA","0.53"
"1980","IOWA","0.06"
"1981","IOWA","0.03"
"1982","IOWA","0.0"
"1983","IOWA","0.0"
"1984","IOWA","0.0"
"1985","IOWA","0.0"
"1986","IOWA","5.1"
"1987","IOWA","0.0"
"1988","IOWA","0.0"
"1989","IOWA","0.45"
"1990","IOWA","0.96"
"1991","IOWA","0.59"
"1992","IOWA","0.0"
"1993","IOWA","0.0"
"1994","IOWA","0.25"
"1995","IOWA","0.0"
"1996","IOWA","0.0"
"1997","IOWA","0.28"
"1998","IOWA","0.03"
"1999","IOWA","0.0"
"2000","IOWA","0.06"
"2001","IOWA","0.0"
"2002","IOWA","0.0"
"2003","IOWA","0.0"
"1928","KANSAS","136.92"
"1929","KANSAS","555.44"
"1930","KANSAS","666.71"
"1931","KANSAS","93.47"
"1932","KANSAS","326.64"
"1933","KANSAS","335.08"
"1934","KANSAS","538.84"
"1935","KANSAS","1399.01"
"1936","KANSAS","23.17"
"1937","KANSAS","42.11"
"1938","KANSAS","583.06"
"1939","KANSAS","158.21"
"1940","KANSAS","450.3"
"1941","KANSAS","764.47"
"1942","KANSAS","535.23"
"1943","KANSAS","547.84"
"1944","KANSAS","551.62"
"1945","KANSAS","95.98"
"1946","KANSAS","658.17"
"1947","KANSAS","48.12"
"1948","KANSAS","58.31"
"1949","KANSAS","882.31"
"1950","KANSAS","93.17"
"1951","KANSAS","572.19"
"1952","KANSAS","326.07"
"1953","KANSAS","750.87"
"1954","KANSAS","66.41"
"1955","KANSAS","145.56"
"1956","KANSAS","200.78"
"1957","KANSAS","0.62"
"1958","KANSAS","3.32"
"1959","KANSAS","0.0"
"1960","KANSAS","0.0"
"1961","KANSAS","0.0"
"1962","KANSAS","0.0"
"1963","KANSAS","0.0"
"1964","KANSAS","0.0"
"1965","KANSAS","0.0"
"1966","KANSAS","0.0"
"1967","KANSAS","4.44"
"1968","KANSAS","0.96"
"1969","KANSAS","0.38"
"1970","KANSAS","3.35"
"1971","KANSAS","62.42"
"1972","KANSAS","1.72"
"1973","KANSAS","1.19"
"1974","KANSAS","8.25"
"1975","KANSAS","93.3"
"1976","KANSAS","32.17"
"1977","KANSAS","61.23"
"1978","KANSAS","4.5"
"1979","KANSAS","3.14"
"1980","KANSAS","3.11"
"1981","KANSAS","0.04"
"1982","KANSAS","1.82"
"1983","KANSAS","0.0"
"1984","KANSAS","0.0"
"1985","KANSAS","0.04"
"1986","KANSAS","4.04"
"1987","KANSAS","0.0"
"1988","KANSAS","0.04"
"1989","KANSAS","4.75"
"1990","KANSAS","9.46"
"1991","KANSAS","0.36"
"1992","KANSAS","0.08"
"1993","KANSAS","0.0"
"1994","KANSAS","0.04"
"1995","KANSAS","0.04"
"1996","KANSAS","0.04"
"1997","KANSAS","0.0"
"1998","KANSAS","0.0"
"1999","KANSAS","0.0"
"2000","KANSAS","0.08"
"2001","KANSAS","0.04"
"2002","KANSAS","0.0"
"2003","KANSAS","0.0"
"1928","KENTUCKY","216.26"
"1929","KENTUCKY","43.17"
"1930","KENTUCKY","70.15"
"1931","KENTUCKY","181.04"
"1932","KENTUCKY","72.99"
"1933","KENTUCKY","57.86"
"1934","KENTUCKY","422.55"
"1935","KENTUCKY","533.77"
"1936","KENTUCKY","79.66"
"1937","KENTUCKY","245.75"
"1938","KENTUCKY","393.49"
"1939","KENTUCKY","79.78"
"1940","KENTUCKY","97.62"
"1941","KENTUCKY","610.5"
"1942","KENTUCKY","84.08"
"1943","KENTUCKY","383.79"
"1944","KENTUCKY","86.5"
"1945","KENTUCKY","61.13"
"1946","KENTUCKY","269.63"
"1947","KENTUCKY","30.12"
"1948","KENTUCKY","127.97"
"1949","KENTUCKY","294.61"
"1950","KENTUCKY","162.65"
"1951","KENTUCKY","290.96"
"1952","KENTUCKY","362.97"
"1953","KENTUCKY","134.51"
"1954","KENTUCKY","1026.0"
"1955","KENTUCKY","76.09"
"1956","KENTUCKY","610.29"
"1957","KENTUCKY","557.76"
"1958","KENTUCKY","619.64"
"1959","KENTUCKY","221.65"
"1960","KENTUCKY","352.98"
"1961","KENTUCKY","368.68"
"1962","KENTUCKY","202.29"
"1963","KENTUCKY","284.88"
"1964","KENTUCKY","481.84"
"1965","KENTUCKY","121.06"
"1966","KENTUCKY","154.21"
"1967","KENTUCKY","46.83"
"1968","KENTUCKY","4.37"
"1969","KENTUCKY","2.21"
"1970","KENTUCKY","32.39"
"1971","KENTUCKY","111.46"
"1972","KENTUCKY","14.43"
"1973","KENTUCKY","12.38"
"1974","KENTUCKY","5.52"
"1975","KENTUCKY","4.55"
"1976","KENTUCKY","21.88"
"1977","KENTUCKY","33.04"
"1978","KENTUCKY","3.35"
"1979","KENTUCKY","1.63"
"1980","KENTUCKY","1.75"
"1981","KENTUCKY","0.03"
"1982","KENTUCKY","0.06"
"1983","KENTUCKY","0.0"
"1984","KENTUCKY","0.03"
"1985","KENTUCKY","0.05"
"1986","KENTUCKY","0.08"
"1987","KENTUCKY","0.0"
"1988","KENTUCKY","0.95"
"1989","KENTUCKY","1.17"
"1990","KENTUCKY","1.14"
"1991","KENTUCKY","0.69"
"1992","KENTUCKY","7.46"
"1993","KENTUCKY","0.0"
"1994","KENTUCKY","0.0"
"1995","KENTUCKY","0.0"
"1996","KENTUCKY","0.0"
"1997","KENTUCKY","0.0"
"1998","KENTUCKY","0.0"
"1999","KENTUCKY","0.0"
"2000","KENTUCKY","0.0"
"2001","KENTUCKY","0.05"
"2002","KENTUCKY","0.0"
"2003","KENTUCKY","0.0"
"1928","LOUISIANA","260.33"
"1929","LOUISIANA","88.79"
"1930","LOUISIANA","86.29"
"1931","LOUISIANA","11.47"
"1932","LOUISIANA","67.44"
"1933","LOUISIANA","42.77"
"1934","LOUISIANA","220.96"
"1935","LOUISIANA","117.22"
"1936","LOUISIANA","57.67"
"1937","LOUISIANA","20.71"
"1938","LOUISIANA","44.77"
"1939","LOUISIANA","157.03"
"1940","LOUISIANA","47.78"
"1941","LOUISIANA","35.01"
"1942","LOUISIANA","123.74"
"1943","LOUISIANA","106.44"
"1944","LOUISIANA","104.0"
"1945","LOUISIANA","41.15"
"1946","LOUISIANA","126.32"
"1947","LOUISIANA","49.96"
"1948","LOUISIANA","57.63"
"1949","LOUISIANA","51.62"
"1950","LOUISIANA","28.57"
"1951","LOUISIANA","78.73"
"1952","LOUISIANA","23.97"
"1953","LOUISIANA","155.89"
"1954","LOUISIANA","104.96"
"1955","LOUISIANA","5.66"
"1956","LOUISIANA","69.64"
"1957","LOUISIANA","34.64"
"1958","LOUISIANA","9.05"
"1959","LOUISIANA","2.08"
"1960","LOUISIANA","7.46"
"1961","LOUISIANA","1.23"
"1962","LOUISIANA","6.9"
"1963","LOUISIANA","4.26"
"1964","LOUISIANA","3.44"
"1965","LOUISIANA","3.85"
"1966","LOUISIANA","3.02"
"1967","LOUISIANA","4.46"
"1968","LOUISIANA","0.79"
"1969","LOUISIANA","3.46"
"1970","LOUISIANA","8.34"
"1971","LOUISIANA","42.19"
"1972","LOUISIANA","3.26"
"1973","LOUISIANA","2.37"
"1974","LOUISIANA","0.38"
"1975","LOUISIANA","0.09"
"1976","LOUISIANA","7.76"
"1977","LOUISIANA","2.2"
"1978","LOUISIANA","21.25"
"1979","LOUISIANA","6.2"
"1980","LOUISIANA","0.43"
"1981","LOUISIANA","0.1"
"1982","LOUISIANA","0.34"
"1983","LOUISIANA","0.09"
"1984","LOUISIANA","0.18"
"1985","LOUISIANA","0.95"
"1986","LOUISIANA","0.08"
"1987","LOUISIANA","0.0"
"1988","LOUISIANA","0.0"
"1989","LOUISIANA","2.79"
"1990","LOUISIANA","0.0"
"1991","LOUISIANA","0.0"
"1992","LOUISIANA","0.0"
"1993","LOUISIANA","0.02"
"1994","LOUISIANA","0.02"
"1995","LOUISIANA","0.42"
"1996","LOUISIANA","0.0"
"1997","LOUISIANA","0.0"
"1998","LOUISIANA","0.02"
"1999","LOUISIANA","0.0"
"2000","LOUISIANA","0.0"
"2001","LOUISIANA","0.0"
"2002","LOUISIANA","0.0"
"2003","LOUISIANA","0.0"
"1928","MAINE","401.96"
"1929","MAINE","719.17"
"1930","MAINE","198.88"
"1931","MAINE","434.35"
"1932","MAINE","1086.28"
"1933","MAINE","13.39"
"1934","MAINE","78.02"
"1935","MAINE","857.76"
"1936","MAINE","891.89"
"1937","MAINE","134.35"
"1938","MAINE","509.67"
"1939","MAINE","271.09"
"1940","MAINE","837.74"
"1941","MAINE","557.7"
"1942","MAINE","540.61"
"1943","MAINE","297.99"
"1944","MAINE","611.07"
"1945","MAINE","61.29"
"1946","MAINE","578.0"
"1947","MAINE","504.58"
"1948","MAINE","335.01"
"1949","MAINE","1108.87"
"1950","MAINE","106.15"
"1951","MAINE","193.05"
"1952","MAINE","987.72"
"1953","MAINE","181.55"
"1954","MAINE","626.75"
"1955","MAINE","710.48"
"1956","MAINE","115.39"
"1957","MAINE","478.88"
"1958","MAINE","462.59"
"1959","MAINE","270.41"
"1960","MAINE","413.05"
"1961","MAINE","279.08"
"1962","MAINE","718.01"
"1963","MAINE","48.49"
"1964","MAINE","373.91"
"1965","MAINE","295.75"
"1966","MAINE","29.7"
"1967","MAINE","24.63"
"1968","MAINE","3.51"
"1969","MAINE","0.8"
"1970","MAINE","41.48"
"1971","MAINE","120.27"
"1972","MAINE","20.98"
"1973","MAINE","5.32"
"1974","MAINE","3.44"
"1975","MAINE","1.44"
"1976","MAINE","0.9"
"1977","MAINE","15.91"
"1978","MAINE","117.78"
"1979","MAINE","1.89"
"1980","MAINE","4.22"
"1981","MAINE","0.45"
"1982","MAINE","0.0"
"1983","MAINE","0.0"
"1984","MAINE","0.0"
"1985","MAINE","0.0"
"1986","MAINE","1.26"
"1987","MAINE","0.25"
"1988","MAINE","0.66"
"1989","MAINE","0.0"
"1990","MAINE","0.32"
"1991","MAINE","0.56"
"1992","MAINE","0.24"
"1993","MAINE","0.16"
"1994","MAINE","0.24"
"1995","MAINE","0.0"
"1996","MAINE","0.0"
"1997","MAINE","0.32"
"1998","MAINE","0.0"
"1999","MAINE","0.0"
"2000","MAINE","0.0"
"2001","MAINE","0.0"
"2002","MAINE","0.0"
"2003","MAINE","0.0"
"1928","MARYLAND","1089.39"
"1929","MARYLAND","126.04"
"1930","MARYLAND","73.89"
"1931","MARYLAND","1264.85"
"1932","MARYLAND","65.17"
"1933","MARYLAND","41.18"
"1934","MARYLAND","1575.91"
"1935","MARYLAND","133.17"
"1936","MARYLAND","405.28"
"1937","MARYLAND","698.17"
"1938","MARYLAND","159.06"
"1939","MARYLAND","852.92"
"1940","MARYLAND","233.84"
"1941","MARYLAND","384.33"
"1942","MARYLAND","535.19"
"1943","MARYLAND","196.78"
"1944","MARYLAND","613.78"
"1945","MARYLAND","87.4"
"1946","MARYLAND","488.43"
"1947","MARYLAND","50.88"
"1948","MARYLAND","435.37"
"1949","MARYLAND","740.27"
"1950","MARYLAND","61.72"
"1951","MARYLAND","269.07"
"1952","MARYLAND","348.04"
"1953","MARYLAND","79.46"
"1954","MARYLAND","433.86"
"1955","MARYLAND","83.51"
"1956","MARYLAND","310.79"
"1957","MARYLAND","79.68"
"1958","MARYLAND","210.83"
"1959","MARYLAND","76.08"
"1960","MARYLAND","104.48"
"1961","MARYLAND","130.28"
"1962","MARYLAND","96.62"
"1963","MARYLAND","60.08"
"1964","MARYLAND","89.51"
"1965","MARYLAND","35.52"
"1966","MARYLAND","57.77"
"1967","MARYLAND","4.86"
"1968","MARYLAND","2.75"
"1969","MARYLAND","2.6"
"1970","MARYLAND","34.61"
"1971","MARYLAND","13.6"
"1972","MARYLAND","0.27"
"1973","MARYLAND","0.32"
"1974","MARYLAND","0.57"
"1975","MARYLAND","1.54"
"1976","MARYLAND","19.9"
"1977","MARYLAND","8.48"
"1978","MARYLAND","1.23"
"1979","MARYLAND","0.38"
"1980","MARYLAND","1.98"
"1981","MARYLAND","0.11"
"1982","MARYLAND","0.1"
"1983","MARYLAND","0.17"
"1984","MARYLAND","0.3"
"1985","MARYLAND","2.53"
"1986","MARYLAND","0.76"
"1987","MARYLAND","0.22"
"1988","MARYLAND","0.3"
"1989","MARYLAND","2.48"
"1990","MARYLAND","4.24"
"1991","MARYLAND","3.66"
"1992","MARYLAND","0.22"
"1993","MARYLAND","0.02"
"1994","MARYLAND","0.1"
"1995","MARYLAND","0.0"
"1996","MARYLAND","0.08"
"1997","MARYLAND","0.5"
"1998","MARYLAND","0.0"
"1999","MARYLAND","0.0"
"2000","MARYLAND","0.0"
"2001","MARYLAND","0.06"
"2002","MARYLAND","0.0"
"2003","MARYLAND","0.0"
"1928","MASSACHUSETTS","981.06"
"1929","MASSACHUSETTS","351.42"
"1930","MASSACHUSETTS","630.29"
"1931","MASSACHUSETTS","386.78"
"1932","MASSACHUSETTS","463.19"
"1933","MASSACHUSETTS","351.86"
"1934","MASSACHUSETTS","1039.49"
"1935","MASSACHUSETTS","286.73"
"1936","MASSACHUSETTS","613.81"
"1937","MASSACHUSETTS","478.32"
"1938","MASSACHUSETTS","229.97"
"1939","MASSACHUSETTS","546.19"
"1940","MASSACHUSETTS","498.72"
"1941","MASSACHUSETTS","474.01"
"1942","MASSACHUSETTS","564.89"
"1943","MASSACHUSETTS","752.17"
"1944","MASSACHUSETTS","433.38"
"1945","MASSACHUSETTS","186.66"
"1946","MASSACHUSETTS","798.36"
"1947","MASSACHUSETTS","252.7"
"1948","MASSACHUSETTS","675.0"
"1949","MASSACHUSETTS","556.88"
"1950","MASSACHUSETTS","264.72"
"1951","MASSACHUSETTS","311.54"
"1952","MASSACHUSETTS","940.07"
"1953","MASSACHUSETTS","68.28"
"1954","MASSACHUSETTS","475.05"
"1955","MASSACHUSETTS","957.5"
"1956","MASSACHUSETTS","72.0"
"1957","MASSACHUSETTS","222.05"
"1958","MASSACHUSETTS","714.96"
"1959","MASSACHUSETTS","123.22"
"1960","MASSACHUSETTS","420.58"
"1961","MASSACHUSETTS","416.44"
"1962","MASSACHUSETTS","511.33"
"1963","MASSACHUSETTS","84.1"
"1964","MASSACHUSETTS","135.92"
"1965","MASSACHUSETTS","354.49"
"1966","MASSACHUSETTS","15.02"
"1967","MASSACHUSETTS","7.47"
"1968","MASSACHUSETTS","9.84"
"1969","MASSACHUSETTS","6.59"
"1970","MASSACHUSETTS","15.75"
"1971","MASSACHUSETTS","8.07"
"1972","MASSACHUSETTS","21.96"
"1973","MASSACHUSETTS","69.12"
"1974","MASSACHUSETTS","7.08"
"1975","MASSACHUSETTS","2.69"
"1976","MASSACHUSETTS","0.74"
"1977","MASSACHUSETTS","12.3"
"1978","MASSACHUSETTS","5.45"
"1979","MASSACHUSETTS","0.49"
"1980","MASSACHUSETTS","0.98"
"1981","MASSACHUSETTS","1.05"
"1982","MASSACHUSETTS","0.1"
"1983","MASSACHUSETTS","0.15"
"1984","MASSACHUSETTS","1.46"
"1985","MASSACHUSETTS","1.37"
"1986","MASSACHUSETTS","0.63"
"1987","MASSACHUSETTS","1.09"
"1988","MASSACHUSETTS","0.09"
"1989","MASSACHUSETTS","1.79"
"1990","MASSACHUSETTS","0.54"
"1991","MASSACHUSETTS","0.72"
"1992","MASSACHUSETTS","0.35"
"1993","MASSACHUSETTS","0.31"
"1994","MASSACHUSETTS","0.12"
"1995","MASSACHUSETTS","0.08"
"1996","MASSACHUSETTS","0.2"
"1997","MASSACHUSETTS","0.88"
"1998","MASSACHUSETTS","0.02"
"1999","MASSACHUSETTS","0.04"
"2000","MASSACHUSETTS","0.0"
"2001","MASSACHUSETTS","0.0"
"2002","MASSACHUSETTS","0.0"
"2003","MASSACHUSETTS","0.0"
"1928","MICHIGAN","547.55"
"1929","MICHIGAN","376.46"
"1930","MICHIGAN","583.62"
"1931","MICHIGAN","133.48"
"1932","MICHIGAN","881.09"
"1933","MICHIGAN","462.14"
"1934","MICHIGAN","132.48"
"1935","MICHIGAN","1600.88"
"1936","MICHIGAN","47.72"
"1937","MICHIGAN","115.59"
"1938","MICHIGAN","1505.5"
"1939","MICHIGAN","328.17"
"1940","MICHIGAN","299.7"
"1941","MICHIGAN","1119.5"
"1942","MICHIGAN","168.35"
"1943","MICHIGAN","765.18"
"1944","MICHIGAN","466.94"
"1945","MICHIGAN","121.24"
"1946","MICHIGAN","627.93"
